pnl_id,platform_id,city,month,revenue_inr,cogs_inr,delivery_cost_inr,marketing_spend_inr,employee_cost_inr,other_opex_inr,orders_count
300072,4,Lucknow,2023-02,38827721.3,23775084.5,3329418.18,3864742.13,1811138.29,1529198.68,276647.0
300065,4,Pune,2024-11,30814986.57,20025304.08,3354371.47,3768555.33,2767001.61,948242.38,119720.0
300036,2,Lucknow,2024-04,30632637.8,18693212.58,4635664.33,3114245.69,2301815.94,1089149.53,359297.0
300038,2,Chandigarh,2023-05,9427639.3,6960209.24,1390478.27,1123282.54,613026.77,201883.67,587620.0
300002,1,Mumbai,2023-05,33036195.0,20856167.51,2951597.66,1913998.83,2296549.82,1619076.16,573852.0
300031,2,Kolkata,2023-06,7479098.57,5012698.34,1233925.63,418089.51,549280.77,188129.46,92444.0
300032,2,Kolkata,2023-04,15095244.77,8316946.84,2185799.22,931062.41,1195210.05,567736.47,91818.0
300007,1,Chennai,2023-07,,9868871.83,,2075149.03,1079230.54,314436.98,95141.0
300008,1,Chennai,2023-10,31476359.12,18348289.59,3391852.99,3748568.5,1921931.89,780436.08,245682.0
300036,2,Lucknow,2024-04,30632637.8,18693212.58,4635664.33,3114245.69,2301815.94,1089149.53,359297.0
300010,1,Pune,2023-11,44886514.88,33583942.84,7921389.27,5781123.09,2779051.21,2441103.16,295376.0
300008,1,Chennai,2023-10,31476359.12,18348289.59,3391852.99,3748568.5,1921931.89,780436.08,245682.0
300055,3,Lucknow,2023-12,24525784.21,17376260.14,3740641.46,2557711.73,1896460.39,618194.05,595069.0
300032,2,Kolkata,2023-04,15095244.77,8316946.84,2185799.22,931062.41,1195210.05,567736.47,91818.0
300015,1,Jaipur,2023-04,7861489.27,4859800.31,1038201.03,481266.55,403085.13,287949.0,363027.0
300005,1,Bengaluru,2024-02,24568443.84,18400643.38,2830943.21,2247103.73,1903167.6,664651.95,330980.0
300069,4,Ahmedabad,2024-06,40320239.92,26939449.9,6367053.74,5268407.13,2219637.98,1200246.52,471632.0
300068,4,Ahmedabad,2024-01,43058797.18,,7537283.91,3775986.75,2901137.3,2503390.04,374234.0
300018,1,Lucknow,2024-06,27777332.09,17742706.9,2737674.89,2379071.87,2010860.33,605937.37,41230.0
300012,1,Kolkata,2023-05,12266467.63,6898165.52,1259943.29,1239557.2,554498.05,587084.64,217496.0
300031,2,Kolkata,2023-06,7479098.57,5012698.34,1233925.63,418089.51,549280.77,188129.46,92444.0
300027,2,Hyderabad,2023-07,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,,147686.0
300009,1,Pune,2023-01,33605465.67,21441729.29,4054567.14,2593038.07,1625928.43,1351119.11,532556.0
300052,3,Ahmedabad,2023-10,29128005.95,,3241300.73,1732064.74,2181733.22,1251626.95,
300062,4,bengaluru,2024-03,8499773.81,6222898.12,1346851.11,1201272.36,,507832.84,251851.0
300053,3,Jaipur,2025-01,13222313.52,7402051.95,2171305.41,1313338.23,788372.61,765020.38,445053.0
300026,2,Hyderabad,2023-05,23747273.29,14943466.75,4091939.91,1652869.55,1870789.66,1180139.54,298652.0
300010,1,Pune,2023-11,44886514.88,33583942.84,7921389.27,5781123.09,2779051.21,2441103.16,295376.0
300032,2,Kolkata,2023-04,15095244.77,8316946.84,2185799.22,931062.41,1195210.05,567736.47,91818.0
300040,2,Kochi,2024-09,5731804.15,3709980.53,580049.29,533417.18,503015.95,143477.57,406130.0
300060,4,mumbai,2023-01,27699149.0,16763175.93,4659608.3,4040009.34,1639234.19,967400.83,106803.0
300023,2,Delhi,2023-05,30023641.75,18471788.8,3856639.58,2469168.19,1632176.91,1629851.53,154006.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300045,3,Bengaluru,2023-03,7135004.27,4502066.84,711737.51,731277.89,532763.58,282035.89,368557.0
300016,1,Jaipur,2024-09,44109376.56,28618837.53,5712983.82,6228357.98,2804221.19,1398487.75,270771.0
300016,1,Jaipur,2024-09,44109376.56,28618837.53,5712983.82,6228357.98,2804221.19,1398487.75,270771.0
300058,3,Kochi,2023-03,31255725.5,22115369.35,3248630.85,2254021.78,,1547959.36,101209.0
300047,3,Chennai,2023-11,32554585.0,19211779.5,3345383.67,4354964.08,1800495.34,994655.68,336220.0
300020,1,Kochi,2024-01,44014474.0,26909014.02,3914193.44,3230467.15,3762028.01,1495113.84,308326.0
300046,3,Hyderabad,2024-05,12978725.44,7719809.28,2246771.39,1300036.99,867010.75,450391.6,
300052,3,Ahmedabad,2023-10,29128005.95,,3241300.73,1732064.74,2181733.22,1251626.95,
300017,1,Lucknow,2023-04,2944636.76,1851832.21,259619.33,,141313.83,171746.51,245116.0
300027,2,Hyderabad,2023-07,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,,147686.0
300031,2,Kolkata,2023-06,7479098.57,5012698.34,1233925.63,418089.51,549280.77,188129.46,92444.0
300015,1,Jaipur,2023-04,7861489.27,4859800.31,1038201.03,481266.55,403085.13,287949.0,363027.0
300009,1,Pune,2023-01,33605465.67,21441729.29,4054567.14,2593038.07,1625928.43,1351119.11,532556.0
300058,3,Kochi,2023-03,31255725.5,22115369.35,3248630.85,2254021.78,,1547959.36,101209.0
300041,3,Mumbai,2024-12,23966915.8,16523425.67,4148146.38,1908525.25,1141433.57,790389.88,171580.0
300060,4,mumbai,2023-01,27699149.0,16763175.93,4659608.3,4040009.34,1639234.19,967400.83,106803.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300011,1,Kolkata,2023-07,5744016.96,3162312.07,789859.72,615435.52,303121.24,299355.74,422836.0
300007,1,Chennai,2023-07,,9868871.83,,2075149.03,1079230.54,314436.98,95141.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300074,4,Kochi,2024-06,35647472.36,25956440.38,4072514.88,2052505.1,2560899.47,1937296.24,20972.0
300055,3,Lucknow,2023-12,24525784.21,17376260.14,3740641.46,2557711.73,1896460.39,618194.05,595069.0
300034,2,Jaipur,2024-04,23963394.55,,2095460.13,3456695.49,2124748.49,1378670.21,176830.0
300025,2,Bengaluru,2024-04,22531017.84,13460593.19,2398514.35,2951189.7,1927343.04,507572.36,59942.0
300019,1,Chandigarh,2024-04,41135024.61,28173725.46,6047209.85,5688143.42,3275452.42,2359797.17,
300021,1,Kochi,2024-12,44576316.03,32377417.01,4905265.47,3181638.46,3663431.78,1653890.01,38872.0
300047,3,Chennai,2023-11,32554585.0,19211779.5,3345383.67,4354964.08,1800495.34,994655.68,336220.0
300006,1,Hyderabad,2024-11,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831.0
300046,3,Hyderabad,2024-05,12978725.44,7719809.28,2246771.39,1300036.99,867010.75,450391.6,
300025,2,Bengaluru,2024-04,22531017.84,13460593.19,2398514.35,2951189.7,1927343.04,507572.36,59942.0
300039,2,Kochi,2024-05,30409670.6,20535976.46,3319383.53,4061298.55,1327733.57,1260449.96,
300013,1,Ahmedabad,2024-04,13642840.24,10209750.19,1548221.8,802789.86,,278661.56,248105.0
300002,1,Mumbai,2023-05,33036195.0,20856167.51,2951597.66,1913998.83,2296549.82,1619076.16,573852.0
300006,1,Hyderabad,2024-11,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831.0
300018,1,Lucknow,2024-06,27777332.09,17742706.9,2737674.89,2379071.87,2010860.33,605937.37,41230.0
300012,1,Kolkata,2023-05,12266467.63,6898165.52,1259943.29,1239557.2,554498.05,587084.64,217496.0
300057,3,Chandigarh,2024-12,13938439.8,7932701.96,1249228.64,1557552.13,794718.75,778044.26,389642.0
300027,2,Hyderabad,2023-07,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,,147686.0
300043,3,Delhi,2023-04,,18144247.17,3765580.06,2212658.53,1455486.57,1504476.36,431075.0
300058,3,Kochi,2023-03,31255725.5,22115369.35,3248630.85,2254021.78,,1547959.36,101209.0
300049,3,Pune,2023-07,2272626.24,1314428.27,216404.36,180301.35,147304.18,131452.53,192007.0
300009,1,Pune,2023-01,33605465.67,21441729.29,4054567.14,2593038.07,1625928.43,1351119.11,532556.0
300011,1,Kolkata,2023-07,5744016.96,3162312.07,789859.72,615435.52,303121.24,299355.74,422836.0
300040,2,Kochi,2024-09,5731804.15,3709980.53,580049.29,533417.18,503015.95,143477.57,406130.0
300004,1,Delhi,2023-04,21247484.24,14865325.49,3445110.92,2038784.47,1033005.99,658477.72,210310.0
300045,3,Bengaluru,2023-03,7135004.27,4502066.84,711737.51,731277.89,532763.58,282035.89,368557.0
300069,4,Ahmedabad,2024-06,40320239.92,26939449.9,6367053.74,5268407.13,2219637.98,1200246.52,471632.0
300056,3,Chandigarh,2024-07,9579994.21,7159815.24,1232333.99,488313.7,628016.92,567389.21,199514.0
300032,2,Kolkata,2023-04,15095244.77,8316946.84,2185799.22,931062.41,1195210.05,567736.47,91818.0
300027,2,Hyderabad,2023-07,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,,147686.0
300014,1,Ahmedabad,2023-06,31627274.01,21444830.01,4365585.61,2305409.03,2708513.71,1760772.25,106690.0
300055,3,Lucknow,2023-12,24525784.21,17376260.14,3740641.46,2557711.73,1896460.39,618194.05,595069.0
300011,1,Kolkata,2023-07,5744016.96,3162312.07,789859.72,615435.52,303121.24,299355.74,422836.0
300034,2,Jaipur,2024-04,23963394.55,,2095460.13,3456695.49,2124748.49,1378670.21,176830.0
300065,4,Pune,2024-11,30814986.57,20025304.08,3354371.47,3768555.33,2767001.61,948242.38,119720.0
300037,2,Chandigarh,2023-09,11095893.45,7953610.26,940604.25,1061210.62,973105.19,579239.29,577814.0
300061,4,Delhi,2024-06,19076085.06,11726866.35,3385697.58,1724321.29,1125072.06,543973.62,449093.0
300001,1,Mumbai,2024-10,17067655.75,9943198.94,2650610.18,2532007.79,940157.27,,260280.0
300073,4,Chandigarh,2023-05,2912281.57,2072585.55,300612.45,349174.78,239780.53,164548.45,191533.0
300025,2,Bengaluru,2024-04,22531017.84,13460593.19,2398514.35,2951189.7,1927343.04,507572.36,59942.0
300027,2,Hyderabad,2023-07,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,,147686.0
300006,1,Hyderabad,2024-11,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831.0
300030,2,Pune,2024-09,24753700.29,14008304.29,3283452.72,3246341.77,1973543.85,1467501.29,466184.0
300064,4,Chennai,2024-10,,6508935.88,1373177.1,766103.69,531883.83,271974.65,75116.0
300019,1,Chandigarh,2024-04,41135024.61,28173725.46,6047209.85,5688143.42,3275452.42,2359797.17,
300056,3,Chandigarh,2024-07,9579994.21,7159815.24,1232333.99,488313.7,628016.92,567389.21,199514.0
300007,1,Chennai,2023-07,,9868871.83,,2075149.03,1079230.54,314436.98,95141.0
300046,3,Hyderabad,2024-05,12978725.44,7719809.28,2246771.39,1300036.99,867010.75,450391.6,
300047,3,Chennai,2023-11,32554585.0,19211779.5,3345383.67,4354964.08,1800495.34,994655.68,336220.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300063,4,Hyderabad,2024-02,16839033.43,10878698.56,1476352.54,2334347.85,725708.86,488165.65,455436.0
300003,1,Delhi,2023-06,23096701.24,13245385.05,,2939167.39,,894821.39,234522.0
300023,2,Delhi,2023-05,30023641.75,18471788.8,3856639.58,2469168.19,1632176.91,1629851.53,154006.0
300056,3,Chandigarh,2024-07,9579994.21,7159815.24,1232333.99,488313.7,628016.92,567389.21,199514.0
300039,2,Kochi,2024-05,30409670.6,20535976.46,3319383.53,4061298.55,1327733.57,1260449.96,
300006,1,Hyderabad,2024-11,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831.0
300050,3,Kolkata,2023-05,,12889592.41,2881721.59,2281651.22,1396905.62,730303.89,280283.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300016,1,Jaipur,2024-09,44109376.56,28618837.53,5712983.82,6228357.98,2804221.19,1398487.75,270771.0
300049,3,Pune,2023-07,2272626.24,1314428.27,216404.36,180301.35,147304.18,131452.53,192007.0
300019,1,Chandigarh,2024-04,41135024.61,28173725.46,6047209.85,5688143.42,3275452.42,2359797.17,
300060,4,mumbai,2023-01,27699149.0,16763175.93,4659608.3,4040009.34,1639234.19,967400.83,106803.0
300054,3,Jaipur,2024-03,3039886.46,1873938.8,454892.63,414612.21,138605.46,112368.76,358295.0
300019,1,Chandigarh,2024-04,41135024.61,28173725.46,6047209.85,5688143.42,3275452.42,2359797.17,
300037,2,Chandigarh,2023-09,11095893.45,7953610.26,940604.25,1061210.62,973105.19,579239.29,577814.0
300037,2,Chandigarh,2023-09,11095893.45,7953610.26,940604.25,1061210.62,973105.19,579239.29,577814.0
300068,4,Ahmedabad,2024-01,43058797.18,,7537283.91,3775986.75,2901137.3,2503390.04,374234.0
300010,1,Pune,2023-11,44886514.88,33583942.84,7921389.27,5781123.09,2779051.21,2441103.16,295376.0
300048,3,Chennai,2024-08,35989200.47,20459320.35,5015788.77,3484596.46,1588508.09,747495.58,227569.0
300001,1,Mumbai,2024-10,17067655.75,9943198.94,2650610.18,2532007.79,940157.27,,260280.0
300073,4,Chandigarh,2023-05,2912281.57,2072585.55,300612.45,349174.78,239780.53,164548.45,191533.0
300065,4,Pune,2024-11,30814986.57,20025304.08,3354371.47,3768555.33,2767001.61,948242.38,119720.0
300026,2,Hyderabad,2023-05,23747273.29,14943466.75,4091939.91,1652869.55,1870789.66,1180139.54,298652.0
300061,4,Delhi,2024-06,19076085.06,11726866.35,3385697.58,1724321.29,1125072.06,543973.62,449093.0
300037,2,Chandigarh,2023-09,11095893.45,7953610.26,940604.25,1061210.62,973105.19,579239.29,577814.0
300006,1,Hyderabad,2024-11,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831.0
300014,1,Ahmedabad,2023-06,31627274.01,21444830.01,4365585.61,2305409.03,2708513.71,1760772.25,106690.0
300074,4,Kochi,2024-06,35647472.36,25956440.38,4072514.88,2052505.1,2560899.47,1937296.24,20972.0
300070,4,Jaipur,2024-10,31803902.65,21327549.02,3195914.83,3698016.01,2783456.18,874948.55,265116.0
300034,2,Jaipur,2024-04,23963394.55,,2095460.13,3456695.49,2124748.49,1378670.21,176830.0
300065,4,Pune,2024-11,30814986.57,20025304.08,3354371.47,3768555.33,2767001.61,948242.38,119720.0
300004,1,Delhi,2023-04,21247484.24,14865325.49,3445110.92,2038784.47,1033005.99,658477.72,210310.0
300046,3,Hyderabad,2024-05,12978725.44,7719809.28,2246771.39,1300036.99,867010.75,450391.6,
300071,4,Lucknow,2023-08,30949516.58,19648687.59,4240847.84,1669152.45,1699752.56,,544991.0
300059,4,Mumbai,2024-11,2328303.49,1674097.77,300729.25,,156011.44,58316.18,317296.0
300053,3,Jaipur,2025-01,13222313.52,7402051.95,2171305.41,1313338.23,788372.61,765020.38,445053.0
300068,4,Ahmedabad,2024-01,43058797.18,,7537283.91,3775986.75,2901137.3,2503390.04,374234.0
300012,1,Kolkata,2023-05,12266467.63,6898165.52,1259943.29,1239557.2,554498.05,587084.64,217496.0
300066,4,Kolkata,2023-10,4622989.29,3189362.57,375849.26,410692.61,225090.13,,259517.0
300022,2,Mumbai,2024-12,28049784.62,19241287.61,2917919.62,2686948.64,1922571.83,1180323.87,512496.0
300009,1,Pune,2023-01,33605465.67,21441729.29,4054567.14,2593038.07,1625928.43,1351119.11,532556.0
